Texas-San Antonio,Texas-Dallas B,4

Oklahoma B,Texas-Dallas B,7

Colorado College,Texas-San Antonio,12

Texas State,Texas-Dallas B,10

Texas-San Antonio,Oklahoma B,9

Texas State,Texas-San Antonio,9

Colorado College,Oklahoma B,11

Texas Tech,Southern Methodist,11

Texas Tech,Oklahoma,4

Rice,Oklahoma,1

Rice,Southern Methodist,11

Texas Tech,Rice,5

Oklahoma,Southern Methodist,13

Oklahoma State,North Texas B,13

John Brown,Kansas State,5

Oklahoma State,John Brown,1

Kansas State,Nebraska,2

Kansas State,North Texas B,7

John Brown,Nebraska,1

Oklahoma State,Kansas State,11

Nebraska,North Texas B,9

Oklahoma State,Nebraska,9

John Brown,North Texas B,11

North Texas,Texas State  B,10

Sam Houston State,Stephen F Austin,1

North Texas,Stephen F Austin,13

Baylor,Sam Houston State,8

Texas State  B,Sam Houston State,2

Baylor,Stephen F Austin,9

North Texas,Sam Houston State,13

Baylor,Texas State  B,5

Baylor,North Texas,1

Texas State  B,Stephen F Austin,3

Stephen F Austin,Texas-Dallas B,10

Southern Methodist,North Texas B,1

Stephen F Austin,Southern Methodist,5

North Texas B,Texas-Dallas B,1

Southern Methodist,Texas-Dallas B,4

Stephen F Austin,North Texas B,2

Texas Tech,John Brown,11

John Brown,Oklahoma,3

Texas Tech,Rice,3

John Brown,Texas State,2

Oklahoma,Baylor,5

Texas Tech,Kansas State,9

Rice,Oklahoma State,1

John Brown,Texas State  B,13

Oklahoma,Colorado College,8

Baylor,Nebraska,3

Texas Tech,Oklahoma B,12

Kansas State,North Texas,3

Rice,Texas-San Antonio,7

Oklahoma State,Sam Houston State,15

Rice,Oklahoma,4

Oklahoma State,Baylor,5

Baylor,Texas State,15

Oklahoma State,Kansas State,10

Kansas State,Texas State,15

North Texas,Colorado College,15

North Texas,Texas-San Antonio,5

Colorado College,Nebraska,8

North Texas,Oklahoma B,9

Texas-San Antonio,Sam Houston State,7

Sam Houston State,Texas State  B,15

Texas State  B,Nebraska,15

Sam Houston State,Oklahoma B,3

Oklahoma B,Nebraska,15

William & Mary,Case Western Reserve,6

Tennessee-Chattanooga,Drexel University,2

William & Mary,Drexel University,8

Case Western Reserve,Tennessee-Chattanooga,2

William & Mary,Tennessee-Chattanooga,2

Case Western Reserve,Drexel University,5

Davidson,James Madison,2

Williams,Liberty,1

James Madison,Liberty,8

Davidson,Williams,1

Williams,James Madison,2

Liberty,Davidson,4

Vermont,North Carolina B,6

Mary Washington,Virginia Commonwealth,2

Vermont,Virginia Commonwealth,9

Mary Washington,North Carolina B,2

Vermont,Mary Washington,8

Virginia Commonwealth,North Carolina B,6

Richmond,George Mason,2

SUNY-Binghamton,Lehigh,4

Richmond,George Washington,7

SUNY-Binghamton,George Mason,7

Richmond,Lehigh,6

George Mason,George Washington,6

Richmond,SUNY-Binghamton,1

Lehigh,George Washington,1

SUNY-Binghamton,George Washington,9

George Mason,Lehigh,1

William & Mary,Liberty,6

Davidson,North Carolina B,1

Vermont,Drexel University,9

Case Western Reserve,James Madison,6

Williams,Virginia Commonwealth,2

Tennessee-Chattanooga,Mary Washington,2

Vermont,William & Mary,1

William & Mary,Tennessee-Chattanooga,4

