Swarthmore,Ursinus,13,2
Jefferson,Lehigh,13,6
Swarthmore,Lehigh,13,4
Jefferson,Ursinus,13,2
Swarthmore,Jefferson,13,6
Ursinus,Lehigh,1,13
Haverford,Lancaster Bible,13,3
Muhlenberg,Scranton,13,9
Haverford,Scranton,12,8
Muhlenberg,Lancaster Bible,13,4
Haverford,Muhlenberg,10,11
Lancaster Bible,Scranton,5,12
Swarthmore,Muhlenberg,15,9
Swarthmore,Haverford,15,6
Scranton,Muhlenberg,7,15
Haverford,Lehigh,15,6
Jefferson,Scranton,10,12
Scranton,Haverford,7,15
Jefferson,Haverford,9,13
Lehigh,Scranton,5,15
Lancaster Bible,Lehigh,5,15
Ursinus,Jefferson,6,15
Lehigh,Jefferson,8,15
